ID,Name,Start,Finish,Predecessors,Phase,Module,Type
INF-01,"Crear repos erp_back/erp_front (NestJS + Vite, convenciones Almahue)",2026-07-13,2026-07-14,,F0,core,infra
INF-02,Docker Compose PostgreSQL 16 + API + volúmenes uploads,2026-07-15,2026-07-16,INF-01,F0,core,infra
INF-03,"Prisma init: PrismaService, adapter pg, migración vacía",2026-07-17,2026-07-17,INF-02,F0,core,back
INF-04,"Swagger /api/docs, ValidationPipe global, prefijo /api",2026-07-15,2026-07-15,INF-01,F0,core,back
INF-05,"Front: Vite proxy /api, axios + refresh JWT, AppLayout/Sidebar/Topbar",2026-07-15,2026-07-17,INF-01,F0,core,front
INF-06,"i18n ES/EN, tema Tailwind, UI base (Button, Card, DataTable, Modal)",2026-07-20,2026-07-22,INF-05,F0,core,front
INF-07,".env.example, README setup, script deploy + GitHub Actions CI",2026-07-17,2026-07-17,INF-02,F0,core,infra
CORE-B01,"Schema Prisma: Empresa, Usuario, Rol, Permiso, RefreshToken",2026-07-20,2026-07-21,INF-03,F0,core,back
CORE-B02,"Auth: login, refresh, logout, recover/reset password",2026-07-22,2026-07-24,CORE-B01,F0,core,back
CORE-B03,"Guards JwtAuthGuard + PermissionsGuard, @Public @RequirePermissions",2026-07-27,2026-07-28,CORE-B02,F0,core,back
CORE-B04,Tenant util: filtro empresaId en queries Prisma,2026-07-22,2026-07-23,CORE-B01,F0,core,back
CORE-B05,"CRUD Admin: empresas, usuarios, roles, permisos",2026-07-29,2026-08-03,CORE-B03,F0,core,back
CORE-F01,"Login, recuperación contraseña, AuthProvider, sesión localStorage",2026-07-27,2026-07-29,CORE-B02,F0,core,front
CORE-F02,"ProtectedRoute, sidebar dinámico por permisos",2026-07-30,2026-07-31,CORE-F01;CORE-B03,F0,core,front
CORE-F03,Admin empresas/usuarios/roles (formularios zod),2026-08-04,2026-08-10,CORE-B05;CORE-F02,F0,core,front
CAT-B01,"Schema: monedas, UM, centros costo, sucursales, tipos documento",2026-07-24,2026-07-28,CORE-B04,F0,catalogos,back
CAT-B02,Endpoints CRUD catálogos + seeds demo,2026-07-29,2026-07-31,CAT-B01,F0,catalogos,back
CAT-F01,Mantenedores catálogos (DataTable + formularios),2026-08-03,2026-08-06,CAT-B02;CORE-F02,F0,catalogos,front
CAT-F02,Hooks cascada reutilizables (patrón features/catalog/),2026-08-07,2026-08-10,CAT-F01,F0,catalogos,front
CONT-B01,"Schema: plan cuentas jerárquico, periodos, tipos asiento",2026-08-03,2026-08-05,CAT-B01,F1,contabilidad,back
CONT-B02,CRUD plan cuentas + validación jerarquía/códigos,2026-08-06,2026-08-10,CONT-B01,F1,contabilidad,back
CONT-B03,"Motor asientos contables (cab+líneas, debe/haber, cuadre)",2026-08-21,2026-08-27,CONT-B02,F1,contabilidad,back
