lista,titulo,labels,url,adjuntos,tiene_desc
En proceso,Mock — Inicio de sesión,MockUp,https://trello.com/c/VTvcL8JM,1,si
En proceso,Mock — Panel principal,MockUp,https://trello.com/c/He2yB51U,1,si
En proceso,Mock — Empresas,MockUp,https://trello.com/c/rYa9lRan,2,si
En proceso,Mock — Usuarios,MockUp,https://trello.com/c/CSpgLHIY,2,si
En proceso,Mock — Roles y permisos,MockUp,https://trello.com/c/TmBrM6uq,2,si
En proceso,Mock — Monedas,MockUp,https://trello.com/c/X9AcyElf,2,si
En proceso,Mock — Unidades de medida,MockUp,https://trello.com/c/Ceyi3VQg,2,si
En proceso,Mock — Centros de costo,MockUp,https://trello.com/c/Q2xb0xJU,2,si
En proceso,Mock — Tipos de documento,MockUp,https://trello.com/c/ELDfezvB,2,si
En proceso,Mock — Plan de cuentas,MockUp,https://trello.com/c/hKlug52V,2,si
En proceso,Mock — Asientos contables,MockUp,https://trello.com/c/BA5QdHMc,2,si
En proceso,Mock — Reportes contables,MockUp,https://trello.com/c/kZwP8QUC,1,si
En proceso,Mock — Flujo de caja,MockUp,https://trello.com/c/atF82W4s,2,si
En proceso,Mock — Pagos,MockUp,https://trello.com/c/deMXSU4X,2,si
En proceso,Mock — Conciliación bancaria,MockUp,https://trello.com/c/B1C1hNCc,2,si
En proceso,Mock — Presupuestos,MockUp,https://trello.com/c/sZOGdQG6,2,si
En proceso,Mock — Contratistas,MockUp,https://trello.com/c/jarqjx0C,2,si
En proceso,Mock — Catálogo de insumos,MockUp,https://trello.com/c/PjY4vlMg,2,si
En proceso,Mock — Clientes,MockUp,https://trello.com/c/rf0YHKJQ,2,si
En proceso,Mock — Prospectos,MockUp,https://trello.com/c/tsFzvbR2,2,si
En proceso,Mock — Libro comercial,MockUp,https://trello.com/c/e5NTQ1T9,2,si
En proceso,Mock — Cotizaciones,MockUp,https://trello.com/c/0lZAXkcF,2,si
En proceso,Mock — Aprobaciones,MockUp,https://trello.com/c/INraR0g3,2,si
En proceso,Mock — Facturación electrónica (GoSocket),MockUp,https://trello.com/c/CKbrxQXY,2,si
En proceso,Mock — Reporte ejecutivo,MockUp,https://trello.com/c/WbhzEqde,1,si
En QA Almahue,Carta Gantt,,https://trello.com/c/uyjYDT85,1,no
