id,modulo,titulo,ts_tldv_inicio,ts_tldv_fin,etiqueta,captura_path,notas
C-01,Contratistas,Login y cambio de empresa,00:00:21,00:00:45,REQ,pantallas-legacy/01-login-empresa.png,Temporada=OPT
C-02,Contratistas,Sesiones compartidas / 15 usuarios,00:01:39,00:02:45,DEC,pantallas-legacy/02-sesiones-compartidas.png,DEC-08
C-03,Contratistas,Tarifas multi-linea,00:04:34,00:10:50,REQ,pantallas-legacy/03-tarifas-contratista.png,Bug visualizacion
C-04,Contratistas,CC solo empresa activa,00:11:29,00:11:50,REQ,pantallas-legacy/04-centros-costo-cross-empresa.png,DEC-03
C-05,Permisos,Perfiles Admin Digitador Intermedio,00:13:00,00:17:10,REQ,pantallas-legacy/05-perfiles-admin.png,DEC-04
C-06,Contratistas,Proforma y factura 1:1,00:19:14,00:22:34,REQ,,Bloqueo cierre modulo
C-07,Contratistas,Traspaso y cierre mes,00:22:38,00:25:53,REQ,,Monedas PX/USD/CNY/EUR
P-01,Compras,Orden de compra sin solicitud,00:29:33,00:43:46,REQ,pantallas-legacy/06-orden-compra.png,DEC-02
P-02,Insumos,Maestro articulos anti-duplicado,00:30:20,00:34:00,REQ,pantallas-legacy/11-maestro-articulos.png,DEC-07
P-03,Compras,Distribucion CC cuadratura,00:40:30,00:42:15,REQ,pantallas-legacy/07-distribucion-cc.png,
P-04,Compras,Afecto Exento politica,00:42:19,01:03:15,PEND,,PEND-01
P-05,Compras,Informe OC proveedor contabilizada,00:43:38,00:46:16,REQ,,
P-06,Compras,Aprobacion con badge,00:48:03,00:50:31,REQ,pantallas-legacy/08-aprobacion-oc.png,
P-07,Compras,Recepcion y TC,00:51:00,00:54:51,REQ,pantallas-legacy/09-recepcion-oc.png,Productores TC promedio
P-08,Compras,Registro compra anti-cruzado,00:54:51,01:03:15,REQ,pantallas-legacy/10-registro-compra.png,
I-01,Insumos,Bodegas por empresa,01:08:04,01:10:17,REQ,pantallas-legacy/12-bodegas.png,
I-02,Insumos,Niveles almacenamiento,01:10:29,01:11:32,PEND,,PEND-03
I-03,Insumos,Param contabilizacion + complementarios,01:11:32,01:15:37,REQ,,
I-04,Insumos,Movimientos bodega,01:16:57,01:20:08,REQ,,
I-05,Insumos,NC a precio factura,01:20:20,01:23:03,REQ,pantallas-legacy/13-nc-devolucion.png,Sin FIFO/LIFO
X-01,Pendiente,Maquinaria mencion verbal,01:25:35,01:26:59,OUT,,OUT v1
K-01,Contabilidad,Plan de cuentas,01:27:14,01:30:00,REQ,,
K-02,Contabilidad,Elementos costo anular + asociar depto,01:32:00,01:35:30,REQ,,
K-03,Contabilidad,Historial factores honorarios,01:37:07,01:38:01,REQ,,Reduce #70
K-04,Contabilidad,Carga masiva comprobantes,01:39:53,01:45:19,REQ,pantallas-legacy/14-carga-masiva.png,
G-01,Pendiente,Gestion PowerBI AlmaWeb Mario,01:46:49,01:48:15,OUT,,Mario agosto
K-05,Contabilidad,Indicadores Banco Central,01:49:10,01:54:43,REQ,pantallas-legacy/15-indicadores-bc.png,DEC-05 DEC-06
